LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,SalePrice
5648,1,5,1953,2506,1,374136
5358,9,2,1981,3956,0,755570
5070,4,4,1967,4639,4,747359
8515,9,7,2019,2305,3,649154
11115,1,3,2004,3962,2,623590
7094,4,6,1953,1337,0,308571
5169,6,6,1977,2666,0,542938
17054,9,2,2014,3600,0,791451
11606,10,6,2021,2075,0,604119
9467,5,2,2019,2407,0,523896
11108,8,6,1978,1832,2,523205
8865,5,2,1985,1901,4,493607
10021,3,8,1970,3608,2,609994
9196,6,1,1993,2376,0,537987
12336,7,5,1969,1042,1,406669
12311,4,8,1993,3741,3,671934
10679,3,4,1961,4915,2,767115
16038,10,7,1962,3465,1,751546
18696,8,2,1994,885,0,416496
7242,7,10,1955,1020,3,381630
17337,9,5,2018,594,0,437529
19595,5,6,1998,1413,2,441991
7182,8,1,2020,2657,4,683853
7854,9,2,1996,2944,4,720596
8517,3,6,1958,1823,4,411225
19378,1,10,1979,3155,3,531572
5665,6,5,1960,2461,0,490707
4580,2,8,1962,1066,4,285354
6120,3,8,1985,1852,2,395890
15865,4,9,1996,2147,2,489609
14236,8,9,1997,4198,0,802691
9362,2,6,1976,672,4,257676
9540,10,4,1959,558,0,388974
3929,4,2,2018,757,2,297348
18847,4,5,1970,4476,1,751830
6335,10,10,1998,4372,1,879755
17498,7,4,2021,1272,0,471527
16124,6,7,1991,3867,3,771018
3775,2,1,1979,3798,2,605018
5580,4,4,1990,2058,4,471400
6593,7,3,1984,2781,3,613384
4470,8,9,1977,1302,0,423119
19713,1,2,1977,2436,1,437376
17913,8,4,2000,3785,0,766333
14418,1,7,1968,2672,3,460141
15861,9,8,1967,1768,1,531065
9133,1,10,2021,4941,0,736628
12276,1,1,2024,4405,4,740069
19403,3,1,2024,4660,0,794005
8089,2,10,1996,1056,1,273017
5928,10,4,1967,825,4,444070
15737,10,10,1961,4782,2,922395
8693,6,4,1964,2675,3,561567
11830,8,6,1970,1094,0,409787
5276,2,9,1958,2246,4,408938
6340,6,2,1998,2501,2,554878
7169,8,9,2017,2978,4,717414
19332,1,9,2020,2952,0,532510
6400,5,2,1964,1376,4,387613
10924,5,10,1993,2225,2,499843
10650,9,8,1987,2557,0,607414
15879,5,1,1970,529,2,315885
6286,5,3,1950,4119,4,722761
16014,9,1,2014,1416,0,537599
6884,9,1,2014,3524,4,800337
6852,7,3,1988,842,2,376444
3307,6,4,1969,2544,0,504990
15316,10,3,1970,2439,1,656338
7801,7,1,1991,1969,2,531620
15491,4,5,1952,1804,0,389588
3268,8,4,1996,2134,3,563141
12000,4,4,1980,693,1,281216
12756,5,2,1980,2786,2,580608
18692,7,9,1960,3212,0,638795
10559,3,10,1958,2674,0,447509
16239,6,6,1966,4074,4,777155
5789,7,10,2020,2057,2,530661
16288,1,9,1983,4910,1,723898
